Index,Open,High,Low,Close,Volume,Adjusted
2010/8/19,128.669998,129.589996,128.020004,128.899994,5402400,111.880243
2010/8/20,128.720001,128.979996,126.959999,127.5,6246300,110.665102
2010/8/23,127.57,128.029999,126.440002,126.470001,4034400,109.771103
2010/8/24,125.209999,126.019997,124.57,124.900002,5621200,108.408403
2010/8/25,124.57,125.599998,124,125.269997,5235300,108.729545
2010/8/26,125.779999,125.779999,122.779999,122.779999,7746600,106.568322
2010/8/27,123.830002,124.800003,122.419998,124.730003,6214200,108.260851
2010/8/30,125.080002,125.269997,123.400002,123.400002,3604000,107.106461
2010/8/31,123.309998,123.989998,122.279999,123.129997,5624200,106.872108
2010/9/1,125.309998,126.309998,124.519997,125.769997,5623100,109.163526
2010/9/2,126.029999,126.230003,124.650002,125.040001,5103300,108.529917
2010/9/3,126.220001,127.599998,125.900002,127.580002,5142900,110.734541
2010/9/7,126.989998,127.360001,125.879997,125.949997,4353300,109.319759
2010/9/8,126.019997,126.519997,125.389999,126.080002,4477500,109.432598
2010/9/9,127.269997,127.57,126.150002,126.360001,3436700,109.675626
2010/9/10,126.989998,128.289993,126.260002,127.989998,4418700,111.090401
2010/9/13,128.630005,130,128.520004,129.610001,5271300,112.496502
2010/9/14,128.429993,129.919998,128.429993,128.850006,4850500,111.836856
2010/9/15,128.649994,129.960007,128.539993,129.429993,4762500,112.340262
2010/9/16,129.199997,129.949997,128.800003,129.669998,4685000,112.548577
2010/9/17,129.919998,130.600006,129.699997,130.190002,10397400,112.999921
2010/9/20,130.240005,132.089996,130.110001,131.789993,7145500,114.388652
2010/9/21,131.449997,132.800003,130.779999,131.979996,5267900,114.553566
2010/9/22,131.610001,132.580002,131.399994,132.570007,4922400,115.065674
2010/9/23,131.419998,132.779999,131.220001,131.669998,3898800,114.2845
2010/9/24,132.419998,134.149994,132.339996,134.110001,7122400,116.402329
2010/9/27,133.509995,135,133.509995,134.649994,6155400,116.871022
2010/9/28,134.669998,135.139999,133.710007,134.889999,7481300,117.079338
2010/9/29,134.399994,135.800003,134.339996,135.479996,5151200,117.591432
2010/9/30,135.5,136.110001,133.669998,134.139999,6425800,116.428367
2010/10/1,135.509995,136.279999,135.089996,135.639999,5621200,117.730309
2010/10/4,135.229996,135.919998,134.389999,135.25,4059900,117.391804
2010/10/5,136.179993,137.899994,136.119995,137.660004,6202500,119.483595
2010/10/6,136.880005,137.960007,136.830002,137.839996,4783000,119.639822
2010/10/7,137.919998,138.880005,137.520004,138.720001,6440800,120.403632
2010/10/8,138.399994,139.089996,138.059998,138.850006,4540800,120.516471
2010/10/11,138.789993,139.940002,138.639999,139.660004,4004300,121.219518
2010/10/12,138.399994,139.990005,138.270004,139.850006,5637300,121.384433
2010/10/13,139.910004,141.479996,139.779999,140.369995,8784300,121.835764
2010/10/14,140.350006,141.5,139.690002,141.5,5653100,122.816564
2010/10/15,142.100006,142.100006,140.539993,141.059998,7220400,122.434659
2010/10/18,140.899994,143.029999,140.839996,142.830002,10322700,123.970955
2010/10/19,137.300003,139.339996,136.699997,138.029999,14159100,119.804737
2010/10/20,138.279999,139.869995,138.130005,139.070007,6945500,120.707424
2010/10/21,139.809998,140.490005,138.399994,139.830002,6221200,121.36707
2010/10/22,140.149994,140.75,139.460007,139.669998,4105300,121.228193
2010/10/25,140.419998,141.399994,139.809998,139.839996,4870000,121.375745
2010/10/26,139.289993,142,138.529999,140.669998,7327100,122.096155
2010/10/27,139.520004,141.570007,139,141.429993,6465300,122.755801
2010/10/28,141.839996,141.949997,140.419998,140.899994,5481600,122.295782
2010/10/29,140.899994,144,140.75,143.600006,8439300,124.639289
2010/11/1,143.639999,144.259995,142.320007,143.320007,5674600,124.396261
2010/11/2,143.850006,144.710007,143.710007,143.839996,4626400,124.847591
2010/11/3,144.240005,144.460007,142.630005,144.169998,5182100,125.13402
2010/11/4,144.820007,146.839996,144.710007,146.789993,6622500,127.408075
2010/11/5,145.940002,146.929993,145.669998,146.919998,4995800,127.520915
2010/11/8,145.350006,146.580002,145.25,146.460007,4459700,127.686567
2010/11/9,146.699997,147.529999,145.630005,146.139999,5700600,127.407579
2010/11/10,146.089996,146.789993,145.630005,146.550003,5172000,127.765028
2010/11/11,144.699997,145.5,143.350006,145.429993,4752200,126.788582
2010/11/12,144.589996,145.770004,143.550003,143.740005,4731500,125.315219
2010/11/15,143.889999,144.75,143.270004,143.639999,3827700,125.228032
2010/11/16,142.929993,143.380005,141.179993,142.240005,6342100,124.007491
2010/11/17,142.490005,142.490005,141.389999,141.949997,4785900,123.754656
2010/11/18,143.039993,144.990005,142.75,144.360001,4236200,125.855743
2010/11/19,144.380005,145.350006,143.990005,145.050003,5015900,126.4573
2010/11/22,144,145.429993,143.559998,145.389999,3730700,126.753715
2010/11/23,144.240005,144.529999,142.330002,143.179993,4570300,124.82699
2010/11/24,143.949997,146.440002,143.820007,145.809998,4874100,127.119877
2010/11/26,145.300003,145.300003,143.570007,143.899994,2081300,125.4547
2010/11/29,143.529999,143.669998,141.5,142.889999,5040300,124.574168
2010/11/30,142.240005,142.759995,141.279999,141.460007,7674800,123.327474
2010/12/1,143.610001,145.130005,143.509995,144.410004,6822800,125.899336
2010/12/2,144.330002,145.850006,144.300003,145.179993,5374000,126.570627
2010/12/3,144.25,145.679993,144.25,145.380005,3710600,126.745001
2010/12/6,144.539993,145.869995,144.520004,144.990005,3321800,126.404993
2010/12/7,146.020004,146.300003,143.869995,144.020004,4828600,125.559327
2010/12/8,144.350006,145.649994,143.839996,144.979996,4961400,126.396266
2010/12/9,145.940002,145.940002,143.520004,144.300003,4405300,125.803436
2010/12/10,144.880005,144.949997,143.729996,144.820007,3503800,126.256785
2010/12/13,145.139999,145.399994,144.210007,144.279999,4741000,125.785995
2010/12/14,144.259995,146.009995,144.259995,145.820007,4800800,127.128604
2010/12/15,145.130005,145.720001,144.309998,144.720001,4447400,126.169598
2010/12/16,144.839996,145.320007,144.149994,144.550003,4178600,126.02139
2010/12/17,144.690002,145.5,144.399994,145,10027000,126.413706
2010/12/20,145.389999,145.539993,144.389999,144.509995,3995000,125.98651
2010/12/21,144.990005,145.990005,144.330002,145.740005,3777100,127.058857
2010/12/22,145.660004,146.399994,145.580002,145.949997,3388800,127.241931
2010/12/23,145.889999,146.330002,145.330002,145.889999,2424500,127.189624
2010/12/27,145.119995,145.699997,145,145.339996,2314700,126.710121
2010/12/28,145.309998,146.149994,145.059998,145.710007,2699600,127.032703
2010/12/29,146,147.5,145.710007,146.520004,3661100,127.738874
2010/12/30,146.360001,147.110001,146.25,146.669998,3039100,127.869642
2010/12/31,146.729996,147.070007,145.960007,146.759995,2969800,127.948102
2011/1/3,147.210007,148.199997,147.139999,147.479996,4603800,128.575813
2011/1/4,147.559998,148.220001,146.639999,147.639999,5060100,128.715307
2011/1/5,147.339996,147.479996,146.729996,147.050003,4657400,128.200937
2011/1/6,147.130005,148.789993,146.820007,148.660004,5029200,129.604565
2011/1/7,148.789993,148.860001,146.940002,147.929993,4135700,128.968128
2011/1/10,147.580002,148.059998,147.229996,147.639999,3633400,128.715307
2011/1/11,148.199997,148.350006,146.75,147.279999,4163600,128.401451
2011/1/12,147.990005,149.289993,147.669998,149.100006,4091500,129.988168
2011/1/13,149.240005,149.289993,148.25,148.820007,3445800,129.74406
2011/1/14,148.889999,150,148.470001,150,4544200,130.772799
2011/1/18,149.820007,151.460007,149.380005,150.649994,9176900,131.339476
2011/1/19,153.259995,156.130005,152.830002,155.690002,12141000,135.73345
2011/1/20,154.529999,155.960007,154.449997,155.800003,7439900,135.82935
2011/1/21,156.399994,156.779999,154.960007,155.5,7009000,135.567802
2011/1/24,155.419998,159.789993,155.330002,159.630005,7285100,139.168417
2011/1/25,159.210007,164.350006,159,161.440002,8260800,140.746407
2011/1/26,161.669998,161.899994,160.419998,161.039993,5353100,140.397671
2011/1/27,161.429993,162.179993,160.860001,161.070007,4878300,140.423838
2011/1/28,161.050003,161.919998,158.669998,159.210007,6725600,138.802255
2011/1/31,159.179993,162,158.679993,162,7197200,141.234623
2011/2/1,162.110001,163.940002,162,163.559998,5831300,142.594658
2011/2/2,163.399994,163.600006,162.610001,163.300003,3904000,142.36799
2011/2/3,163.160004,164.199997,162.809998,163.529999,4683400,142.568505
2011/2/4,163.479996,164.139999,163.220001,164,3755200,142.978261
2011/2/7,164.080002,164.990005,164.020004,164.820007,4928100,143.693158
2011/2/8,164.820007,166.25,164.320007,166.050003,5612600,145.338657
2011/2/9,165.619995,165.970001,164.100006,164.649994,4633600,144.11327
2011/2/10,163.899994,165,163.179993,164.089996,5737800,143.623121
2011/2/11,163.979996,165.009995,163.309998,163.850006,5185200,143.413065
2011/2/14,164.179993,164.380005,162.850006,163.220001,4129800,142.86164
2011/2/15,162.889999,163.570007,162.520004,162.839996,3768700,142.529033
2011/2/16,163.330002,163.600006,162.75,163.399994,3216000,143.019182
2011/2/17,163.300003,164.669998,162.850006,164.240005,3230500,143.75442
2011/2/18,164.460007,164.839996,164.100006,164.839996,4245000,144.279574
2011/2/22,163.570007,164.259995,161.779999,161.949997,5209300,141.750043
2011/2/23,161.809998,162.679993,160.139999,160.179993,5998100,140.20081
2011/2/24,159.630005,161.270004,159.029999,160.770004,5707500,140.71723
2011/2/25,161.059998,162.339996,160.860001,162.279999,4518400,142.038884
2011/2/28,162.360001,162.990005,161.240005,161.880005,4773000,141.688781
2011/3/1,163.149994,163.149994,159.880005,159.970001,4382800,140.017011
2011/3/2,159.429993,161.110001,159.410004,160.160004,3413000,140.183315
2011/3/3,161.419998,164,161.270004,163.479996,4057800,143.089206
2011/3/4,163.399994,164.309998,160.649994,161.830002,4910700,141.645015
2011/3/7,161.600006,162.979996,158.850006,159.929993,5312000,139.981993
2011/3/8,159.699997,163.429993,159.210007,162.279999,5384800,142.038884
2011/3/9,163.470001,167.720001,163.279999,165.860001,9086600,145.172353
2011/3/10,164.639999,164.669998,161.380005,162.020004,7041400,141.811318
2011/3/11,162.399994,163.240005,160.839996,162.429993,4271000,142.170169
2011/3/14,161.160004,161.979996,160.089996,161.389999,4300500,141.259894
2011/3/15,157.350006,159.639999,156.880005,159.020004,6475800,139.185507
2011/3/16,156.520004,156.979996,151.710007,153,12195300,133.916375
2011/3/17,154,154.5,152.699997,154.179993,7376400,134.949188
2011/3/18,156.5,156.949997,154.320007,155.889999,11450000,136.445906
2011/3/21,157.639999,159.630005,157.070007,157.679993,5784000,138.012634
2011/3/22,158.559998,158.610001,157.520004,158,4311400,138.292727
2011/3/23,158,160.080002,157.529999,159.529999,4782500,139.63189
2011/3/24,160.229996,160.710007,158.839996,160.039993,5145800,140.078273
2011/3/25,160.979996,162.740005,160.759995,162.179993,5348100,141.951351
2011/3/28,161.539993,162.580002,161.119995,161.369995,3972800,141.242384
2011/3/29,161.339996,163.089996,161.149994,162.880005,3456700,142.564051
2011/3/30,163.550003,163.990005,163.020004,163.600006,3394100,143.194247
2011/3/31,163.399994,164.059998,163.070007,163.070007,3860800,142.730355
2011/4/1,163.699997,164.419998,163.039993,164.270004,4381900,143.780677
2011/4/4,164.419998,164.729996,163.580002,164.25,3225100,143.763168
2011/4/5,163.809998,164.699997,163.619995,163.990005,3612000,143.535602
2011/4/6,164.339996,164.75,163.809998,164.039993,3774800,143.579355
2011/4/7,164.100006,164.550003,163.279999,164.380005,3666700,143.876957
2011/4/8,164.350006,164.380005,163.160004,164.050003,3324100,143.588116
2011/4/11,163.440002,164,163.110001,163.949997,4139000,143.500584
2011/4/12,163.360001,163.770004,162.300003,163.25,3860600,142.887897
2011/4/13,163.970001,164.929993,163.660004,163.949997,4181900,143.500584
2011/4/14,163.839996,165.360001,163.160004,164.970001,4699100,144.393363
2011/4/15,165,166.339996,164.869995,166.210007,5287400,145.478703
2011/4/18,164.639999,166.160004,162.860001,165.940002,6160700,145.242377
2011/4/19,165.710007,166.380005,164.440002,165.399994,6547100,144.769723
